,BA.1,BA.2,BA.2.75,BA.5,BQ.1.1,D614G,XBB
Seq0,0.935648892339121,0.9119182666948258,0.9279896297899392,0.9018399033537418,0.9378172039791753,0.9186465697168235,0.9599637880940912
Seq1,0.935648892339121,0.9119182666948258,0.9279896297899392,0.9018399033537418,0.9378172039791753,0.9186465697168235,0.9599637880940912
Seq2,0.935648892339121,0.9119182666948258,0.9279896297899392,0.9018399033537418,0.9378172039791753,0.9186465697168235,0.9599637880940912
Seq3,0.935648892339121,0.9119182666948258,0.9279896297899392,0.9018399033537418,0.9378172039791753,0.9186465697168235,0.9599637880940912
Seq4,0.935648892339121,0.9119182666948258,0.9279896297899392,0.9018399033537418,0.9378172039791753,0.9186465697168235,0.9599637880940912
Seq5,0.935648892339121,0.9119182666948258,0.9279896297899392,0.9018399033537418,0.9378172039791753,0.9186465697168235,0.9599637880940912
Seq6,0.8578717790629655,0.8584567919665822,0.8502162509102957,0.8801082600500625,0.9569065655716162,0.8826872804549883,0.8809836076706814
Seq7,0.935648892339121,0.9119182666948258,0.9279896297899392,0.9018399033537418,0.9378172039791753,0.9186465697168235,0.9599637880940912
Seq8,0.935648892339121,0.9119182666948258,0.9279896297899392,0.9018399033537418,0.9378172039791753,0.9186465697168235,0.9599637880940912
Seq9,0.935648892339121,0.9119182666948258,0.9279896297899392,0.9018399033537418,0.9378172039791753,0.9186465697168235,0.9599637880940912
Seq10,0.935648892339121,0.9119182666948258,0.9279896297899392,0.9018399033537418,0.9378172039791753,0.9186465697168235,0.9599637880940912
Seq11,0.935648892339121,0.9119182666948258,0.9279896297899392,0.9018399033537418,0.9378172039791753,0.9186465697168235,0.9599637880940912
Seq12,0.935648892339121,0.9119182666948258,0.9279896297899392,0.9018399033537418,0.9378172039791753,0.9186465697168235,0.9599637880940912
Seq13,0.8578717790629655,0.8584567919665822,0.8502162509102957,0.8801082600500625,0.9569065655716162,0.8826872804549883,0.8809836076706814
Seq14,0.9113247787421722,0.8976952749417778,0.9045575687688512,0.8972739983395077,0.9280243586892677,0.8998324165612992,0.9318376461416588
Seq15,0.9113247787421722,0.8976952749417778,0.9045575687688512,0.8972739983395077,0.9280243586892677,0.8998324165612992,0.9318376461416588
Seq16,0.9113247787421722,0.8976952749417778,0.9045575687688512,0.8972739983395077,0.9280243586892677,0.8998324165612992,0.9318376461416588
Seq17,0.9113247787421722,0.8976952749417778,0.9045575687688512,0.8972739983395077,0.9280243586892677,0.8998324165612992,0.9318376461416588
Seq18,0.9113247787421722,0.8976952749417778,0.9045575687688512,0.8972739983395077,0.9280243586892677,0.8998324165612992,0.9318376461416588
Seq19,0.9113247787421722,0.8976952749417778,0.9045575687688512,0.8972739983395077,0.9280243586892677,0.8998324165612992,0.9318376461416588
Seq20,0.9530879321911755,0.9437893144662691,0.9495342822855443,0.9246667485097245,0.9477947126226423,0.9496550148124965,0.9819422948106918
Seq21,0.9530879321911755,0.9437893144662691,0.9495342822855443,0.9246667485097245,0.9477947126226423,0.9496550148124965,0.9819422948106918
Seq22,0.9113247787421722,0.8976952749417778,0.9045575687688512,0.8972739983395077,0.9280243586892677,0.8998324165612992,0.9318376461416588
Seq23,0.9113247787421722,0.8976952749417778,0.9045575687688512,0.8972739983395077,0.9280243586892677,0.8998324165612992,0.9318376461416588
Seq24,0.9113247787421722,0.8976952749417778,0.9045575687688512,0.8972739983395077,0.9280243586892677,0.8998324165612992,0.9318376461416588
Seq25,0.9113247787421722,0.8976952749417778,0.9045575687688512,0.8972739983395077,0.9280243586892677,0.8998324165612992,0.9318376461416588
Seq26,0.9113247787421722,0.8976952749417778,0.9045575687688512,0.8972739983395077,0.9280243586892677,0.8998324165612992,0.9318376461416588
Seq27,0.9113247787421722,0.8976952749417778,0.9045575687688512,0.8972739983395077,0.9280243586892677,0.8998324165612992,0.9318376461416588
